gene_name,sample_name,gene_family,aro_accession,drug_class,high_level_drug_class,resistance_mechanism,model_type,num_contigs,cutoff,contig_coverage_breadth,contig_percent_id,contig_species,num_reads,read_gene_id,read_coverage_breadth,read_coverage_depth,read_species,total_reads,rpm,dpm
Escherichia coli mdfA,App1_pt1_blood_culture,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3001328,tetracycline antibiotic; disinfecting agents and antiseptics,disinfecting agents and antiseptics; tetracycline antibiotic,antibiotic efflux,protein homolog,1,Strict,99.7567,85.37,,,,,,,6601096,0.0,0.0
FosA6,App1_pt1_blood_culture,fosfomycin thiol transferase,ARO:3004111,phosphonic acid antibiotic,phosphonic acid antibiotic,antibiotic inactivation,protein homolog,1,Strict,99.2857,99.28,Unknown taxonomy (chromosome or plasmid),221.0,ARO:3004111|ID:2779|Name:FosA6|NCBI:KU254579.1,100.0,65.11,Klebsiella pneumoniae (chromosome or plasmid): 25; ,6601096,69.18,20.38
H-NS,App1_pt1_blood_culture,major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000676,macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; cephamycin; penam; tetracycline antibiotic,beta-lactam antibiotic; tetracycline antibiotic; macrolide antibiotic; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,159.0,ARO:3000676|ID:1248|Name:H-NS|NCBI:BA000007.3,97.34,42.4,Klebsiella pneumoniae (chromosome or plasmid): 37; Klebsiella (chromosome or plasmid): 90; ,6601096,49.77,13.27
Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics,App1_pt1_blood_culture,Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics,ARO:3004446,cephalosporin; cephamycin; penam,beta-lactam antibiotic,antibiotic target alteration,protein variant,1,Strict,92.4714,52.37,Klebsiella pneumoniae (chromosome or plasmid),,,,,,6601096,0.0,0.0
Klebsiella pneumoniae KpnE,App1_pt1_blood_culture,small multidrug resistance (SMR) antibiotic efflux pump,ARO:3004580,macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics,peptide antibiotic; tetracycline antibiotic; beta-lactam antibiotic; macrolide antibiotic; disinfecting agents and antiseptics; aminoglycoside antibiotic; rifamycin antibiotic,antibiotic efflux,protein homolog,1,Strict,99.1736,99.17,Klebsiella pneumoniae (chromosome or plasmid),160.0,ARO:3004580|ID:3283|Name:Klebsiella_pneumoniae_KpnE|NCBI:AP006725.1,100.0,53.57,Klebsiella pneumoniae (chromosome): 15; Klebsiella pneumoniae (chromosome or plasmid): 31; Klebsiella (chromosome or plasmid): 38; ,6601096,50.08,16.77
Klebsiella pneumoniae KpnF,App1_pt1_blood_culture,small multidrug resistance (SMR) antibiotic efflux pump,ARO:3004583,macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics,peptide antibiotic; tetracycline antibiotic; beta-lactam antibiotic; macrolide antibiotic; disinfecting agents and antiseptics; aminoglycoside antibiotic; rifamycin antibiotic,antibiotic efflux,protein homolog,1,Perfect,99.0909,100.0,Klebsiella pneumoniae (chromosome or plasmid),124.0,ARO:3004583|ID:3286|Name:Klebsiella_pneumoniae_KpnF|NCBI:AP006725.1,100.0,44.35,Klebsiella pneumoniae (chromosome): 10; Klebsiella pneumoniae (chromosome or plasmid): 12; Klebsiella (chromosome or plasmid): 35; ,6601096,38.81,13.88
Klebsiella pneumoniae KpnG,App1_pt1_blood_culture,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3004588,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penam; peptide antibiotic; penem,peptide antibiotic; beta-lactam antibiotic; macrolide antibiotic; aminoglycoside antibiotic; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,1,Strict,99.7442,99.74,Klebsiella pneumoniae (chromosome or plasmid),491.0,ARO:3004588|ID:3298|Name:Klebsiella_pneumoniae_KpnG|NCBI:ACWO01000051.1,100.0,56.87,Klebsiella pneumoniae (chromosome or plasmid): 117; Klebsiella (chromosome or plasmid): 48; ,6601096,153.69,17.8
Klebsiella pneumoniae KpnH,App1_pt1_blood_culture,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3004597,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penam; peptide antibiotic; penem,peptide antibiotic; beta-lactam antibiotic; macrolide antibiotic; aminoglycoside antibiotic; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,1,Strict,97.8558,94.02,Klebsiella (chromosome or plasmid),121.0,ARO:3004597|ID:3299|Name:Klebsiella_pneumoniae_KpnH|NCBI:ASTU01000063.1,46.72,11.43,Klebsiella (chromosome or plasmid): 54; ,6601096,37.88,3.58
Klebsiella pneumoniae OmpK37,App1_pt1_blood_culture,General Bacterial Porin with reduced permeability to beta-lactams,ARO:3004122,monobactam; carbapenem; cephalosporin; cephamycin; penam; penem,beta-lactam antibiotic,reduced permeability to antibiotic,protein homolog,0,,,,,805.0,ARO:3004122|ID:2785|Name:Klebsiella_pneumoniae_OmpK37|NCBI:AJ011502.1,100.0,56.79,Klebsiella pneumoniae (chromosome or plasmid): 235; Klebsiella (chromosome or plasmid): 8; ,6601096,251.98,17.78
Klebsiella pneumoniae acrA,App1_pt1_blood_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3004041,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,phenicol antibiotic; beta-lactam antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics; fluoroquinolone antibiotic; rifamycin antibiotic,antibiotic efflux,protein homolog,1,Nudged,99.7494,95.24,Klebsiella pneumoniae (chromosome),570.0,ARO:3004041|ID:2659|Name:Klebsiella_pneumoniae_acrA|NCBI:AJ318073.1,100.0,64.6,Klebsiella pneumoniae (chromosome): 224; Salmonella enterica (chromosome): 26; Klebsiella (chromosome): 79; ,6601096,178.42,20.22
LptD,App1_pt1_blood_culture,ATP-binding cassette (ABC) antibiotic efflux pump,ARO:3005059,peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic,peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic,antibiotic efflux,protein homolog,1,Perfect,99.8723,100.0,Klebsiella pneumoniae (chromosome),1144.0,ARO:3005059|ID:3799|Name:LptD|NCBI:CP007727.1,100.0,69.39,Klebsiella pneumoniae (chromosome): 271; Klebsiella (chromosome): 260; ,6601096,358.1,21.72
MexB,App1_pt1_blood_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000378,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem,beta-lactam antibiotic; tetracycline antibiotic; fluoroquinolone antibiotic; diaminopyrimidine antibiotic; peptide antibiotic; phenicol antibiotic; macrolide antibiotic; sulfonamide antibiotic; aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,39.0,ARO:3000378|ID:1925|Name:MexB|NCBI:L11616.1,16.08,1.01,Klebsiella pneumoniae (chromosome): 16; Klebsiella (chromosome): 22; ,6601096,12.21,0.32
MuxB,App1_pt1_blood_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3004074,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic,beta-lactam antibiotic; macrolide antibiotic; tetracycline antibiotic; aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,100.0,ARO:3004074|ID:2718|Name:MuxB|NCBI:AE004091.2,44.96,0.14,,6601096,31.3,0.04
MuxC,App1_pt1_blood_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3004075,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic,beta-lactam antibiotic; macrolide antibiotic; tetracycline antibiotic; aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,35.0,ARO:3004075|ID:2720|Name:MuxC|NCBI:AE004091.2,8.61,0.29,,6601096,10.96,0.09
OmpA,App1_pt1_blood_culture,General Bacterial Porin with reduced permeability to peptide antibiotics,ARO:3005044,peptide antibiotic,peptide antibiotic,reduced permeability to antibiotic,protein homolog,1,Strict,94.9333,99.72,Klebsiella (chromosome or plasmid),411.0,ARO:3005044|ID:3787|Name:OmpA|NCBI:FO834906.1,100.0,49.31,Klebsiella pneumoniae (chromosome or plasmid): 4; Klebsiella (chromosome or plasmid): 176; ,6601096,128.65,15.44
PmrF,App1_pt1_blood_culture,pmr phosphoethanolamine transferase,ARO:3003578,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,1,Strict,99.6904,83.69,,,,,,,6601096,0.0,0.0
SHV-224,App1_pt1_blood_culture,SHV beta-lactamase,ARO:3005240,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Perfect,99.6516,100.0,Klebsiella pneumoniae (chromosome or plasmid),241.0,ARO:3005240|ID:3962|Name:SHV-224|NCBI:NG_062296.1,100.0,34.98,Klebsiella pneumoniae (chromosome): 13; Klebsiella pneumoniae (chromosome or plasmid): 58; Escherichia coli (chromosome or plasmid): 2; ,6601096,75.44,10.95
TolC,App1_pt1_blood_culture,ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000237,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics,beta-lactam antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics; fluoroquinolone antibiotic; peptide antibiotic; phenicol antibiotic; macrolide antibiotic; aminoglycoside antibiotic; aminocoumarin antibiotic; rifamycin antibiotic,antibiotic efflux,protein homolog,0,,,,,133.0,ARO:3000237|ID:826|Name:TolC|NCBI:FJ768952.1,29.91,2.53,,6601096,41.63,0.79
YojI,App1_pt1_blood_culture,ATP-binding cassette (ABC) antibiotic efflux pump,ARO:3003952,peptide antibiotic,peptide antibiotic,antibiotic efflux,protein homolog,0,,,,,77.0,ARO:3003952|ID:2424|Name:YojI|NCBI:U00096.3,33.03,1.27,,6601096,24.1,0.4
acrB,App1_pt1_blood_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000216,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,phenicol antibiotic; beta-lactam antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics; fluoroquinolone antibiotic; rifamycin antibiotic,antibiotic efflux,protein homolog,1,Strict,99.9048,91.52,Klebsiella pneumoniae (chromosome),711.0,ARO:3000216|ID:1104|Name:acrB|NCBI:U00096.3,94.06,22.08,Klebsiella pneumoniae (chromosome): 341; Klebsiella (chromosome): 3; ,6601096,222.56,6.91
acrD,App1_pt1_blood_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000491,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic efflux,protein homolog,1,Strict,99.9037,91.13,Klebsiella pneumoniae (chromosome),229.0,ARO:3000491|ID:1427|Name:acrD|NCBI:AP009048.1,43.45,4.32,Klebsiella pneumoniae (chromosome): 32; Klebsiella (chromosome): 123; ,6601096,71.68,1.35
arnA,App1_pt1_blood_culture,pmr phosphoethanolamine transferase,ARO:3002985,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,183.0,ARO:3002985|ID:1643|Name:arnA|NCBI:AE004091.2,56.36,2.79,,6601096,57.28,0.87
bacA,App1_pt1_blood_culture,undecaprenyl pyrophosphate related proteins,ARO:3002986,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,13.0,ARO:3002986|ID:1820|Name:bacA|NCBI:U00096.3,8.76,1.0,,6601096,4.07,0.31
baeR,App1_pt1_blood_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000828,aminoglycoside antibiotic; aminocoumarin antibiotic,aminoglycoside antibiotic; aminocoumarin antibiotic,antibiotic efflux,protein homolog,1,Strict,99.5851,91.67,Klebsiella pneumoniae (chromosome),67.0,ARO:3000828|ID:1337|Name:baeR|NCBI:AP009048.1,77.73,4.28,Klebsiella pneumoniae (chromosome): 34; Klebsiella (chromosome): 2; ,6601096,20.97,1.34
cpxA,App1_pt1_blood_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000830,aminoglycoside antibiotic; aminocoumarin antibiotic,aminoglycoside antibiotic; aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,123.0,ARO:3000830|ID:152|Name:cpxA|NCBI:BA000007.3,33.19,9.88,,6601096,38.5,3.09
emrR,App1_pt1_blood_culture,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3000516,fluoroquinolone antibiotic,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,1,Strict,98.8701,92.57,Klebsiella pneumoniae (chromosome or plasmid),67.0,ARO:3000516|ID:1330|Name:emrR|NCBI:U00096.3,69.3,6.43,Klebsiella pneumoniae (chromosome or plasmid): 35; Klebsiella (chromosome or plasmid): 31; ,6601096,20.97,2.01
eptB,App1_pt1_blood_culture,pmr phosphoethanolamine transferase,ARO:3005047,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,1,Strict,96.8696,99.46,Klebsiella pneumoniae (chromosome),886.0,ARO:3005047|ID:3791|Name:eptB|NCBI:FO203501.1,100.0,71.25,Klebsiella pneumoniae (chromosome): 137; Klebsiella (chromosome): 47; ,6601096,277.34,22.3
fosA5,App1_pt1_blood_culture,fosfomycin thiol transferase,ARO:3003209,fluoroquinolone antibiotic; aminoglycoside antibiotic; phosphonic acid antibiotic,aminoglycoside antibiotic; fluoroquinolone antibiotic; phosphonic acid antibiotic,antibiotic inactivation,protein homolog,0,,,,,1.0,ARO:3003209|ID:112|Name:fosA5|NCBI:KP143090.1,7.86,0.08,,6601096,0.31,0.03
leuO,App1_pt1_blood_culture,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3003843,nucleoside antibiotic; disinfecting agents and antiseptics,disinfecting agents and antiseptics; nucleoside antibiotic,antibiotic efflux,protein homolog,1,Strict,95.873,83.44,,79.0,ARO:3003843|ID:5921|Name:leuO|NCBI:LR730402.1,27.3,0.16,,6601096,24.73,0.05
marA,App1_pt1_blood_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams,ARO:3000263,fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics,phenicol antibiotic; beta-lactam antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics; fluoroquinolone antibiotic; rifamycin antibiotic,antibiotic efflux; reduced permeability to antibiotic,protein homolog,1,Strict,96.875,92.74,Klebsiella pneumoniae (chromosome or plasmid),,,,,,6601096,0.0,0.0
mdtA,App1_pt1_blood_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000792,aminocoumarin antibiotic,aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,56.0,ARO:3000792|ID:387|Name:mdtA|NCBI:U00096.1,24.52,0.6,,6601096,17.53,0.19
mdtB,App1_pt1_blood_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000793,aminocoumarin antibiotic,aminocoumarin antibiotic,antibiotic efflux,protein homolog,1,Strict,99.9039,90.1,Unknown taxonomy and genomic context,178.0,ARO:3000793|ID:820|Name:mdtB|NCBI:U00096.1,69.39,5.21,,6601096,55.72,1.63
mdtC,App1_pt1_blood_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000794,aminocoumarin antibiotic,aminocoumarin antibiotic,antibiotic efflux,protein homolog,1,Strict,99.9025,91.61,Klebsiella pneumoniae (no genomic info),294.0,ARO:3000794|ID:1315|Name:mdtC|NCBI:U00096.1,65.4,6.26,,6601096,92.03,1.96
mdtH,App1_pt1_blood_culture,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3001216,fluoroquinolone antibiotic,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,47.0,ARO:3001216|ID:375|Name:mdtH|NCBI:U00096.1,30.36,3.51,,6601096,14.71,1.1
msbA,App1_pt1_blood_culture,ATP-binding cassette (ABC) antibiotic efflux pump,ARO:3003950,nitroimidazole antibiotic,nitroimidazole antibiotic,antibiotic efflux,protein homolog,1,Strict,99.8285,92.78,Klebsiella pneumoniae (chromosome),49.0,ARO:3003950|ID:2423|Name:msbA|NCBI:U00096.3,25.61,3.01,Klebsiella (chromosome): 49; ,6601096,15.34,0.94
nimH,App1_pt1_blood_culture,nitroimidazole reductase,ARO:3007110,nitroimidazole antibiotic,nitroimidazole antibiotic,antibiotic inactivation,protein homolog,0,,,,,1.0,ARO:3007110|ID:5783|Name:nimH|NCBI:FJ969397.1,3.75,0.04,,6601096,0.31,0.01
oqxA,App1_pt1_blood_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3003922,fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic,tetracycline antibiotic; fluoroquinolone antibiotic; nitrofuran antibiotic; diaminopyrimidine antibiotic,antibiotic efflux,protein homolog,1,Strict,99.7449,99.74,Klebsiella pneumoniae (chromosome or plasmid),480.0,ARO:3003922|ID:2399|Name:oqxA|NCBI:EU370913.1,100.0,56.07,Klebsiella pneumoniae (chromosome): 4; Klebsiella pneumoniae (chromosome or plasmid): 131; Klebsiella (chromosome): 1; Klebsiella (chromosome or plasmid): 7; ,6601096,150.25,17.55
oqxB,App1_pt1_blood_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3003923,fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic,tetracycline antibiotic; fluoroquinolone antibiotic; nitrofuran antibiotic; diaminopyrimidine antibiotic,antibiotic efflux,protein homolog,1,Strict,99.9049,99.71,Klebsiella pneumoniae (chromosome or plasmid),1097.0,ARO:3003923|ID:2400|Name:oqxB|NCBI:EU370913.1,100.0,49.57,Klebsiella pneumoniae (chromosome): 2; Klebsiella pneumoniae (chromosome or plasmid): 65; Salmonella enterica (chromosome or plasmid): 5; Escherichia coli (chromosome or plasmid): 1; Salmonella enterica (plasmid): 30; Klebsiella (chromosome): 11; Klebsiella (chromosome or plasmid): 45; ,6601096,343.39,15.52
rpoB2,App1_pt1_blood_culture,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),ARO:3000501,rifamycin antibiotic,rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,66.0,ARO:3000501|ID:2831|Name:rpoB2|NCBI:AP006618.1,8.03,0.55,Klebsiella pneumoniae (chromosome): 23; Klebsiella pneumoniae (chromosome or plasmid): 42; ,6601096,20.66,0.17
rsmA,App1_pt1_blood_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3005069,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,phenicol antibiotic; fluoroquinolone antibiotic; diaminopyrimidine antibiotic,antibiotic efflux,protein homolog,1,Strict,98.3871,85.25,Unknown taxonomy (chromosome or plasmid),,,,,,6601096,0.0,0.0
